attr,element,loc,component,description,equivalence
horiz-origin-xy,font,FontElementHORIZORIGINXYAttribute|FontElementHORIZORIGINXYAttribute,horiz-origin-x|horiz-origin-y,Shortcut for assigning horiz-origin-x and horiz-origin-y,"horiz-origin-xy =v is equivalent to  horiz-origin-x=v[1], horiz-origin-y=v[2]"
vert-origin-xy,font|glyph|missing-glyph,FontElementVERTORIGINXYAttribute|FontElementVERTORIGINXYAttribute|GlyphElementVERTORIGINXYAttribute|GlyphElementVERTORIGINXYAttribute|GlyphElementVERTORIGINXYAttribute|GlyphElementVERTORIGINXYAttribute,vert-origin-x|vert-origin-y,Shortcut for assigning vert-origin-x and vert-origin-y,"vert-origin-xy =v is equivalent to  vert-origin-x=v[1], vert-origin-y=v[2]"
g12,hkern|vkern,HKernElementG12Attribute|HKernElementG12Attribute|HKernElementG12Attribute|HKernElementG12Attribute,g1|g2,Shortcut for assigning g1 and g2,"g12 =v is equivalent to  g1=v[1], g2=v[2]"
u12,hkern|vkern,HKernElementU12Attribute|HKernElementU12Attribute|HKernElementU12Attribute|HKernElementU12Attribute,u1|u2,Shortcut for assigning u1 and u2,"u12 =v is equivalent to  u1=v[1], u2=v[2]"
x12,line|linearGradient,LineElementX12Attribute|LineElementX12Attribute|LinearGradientElementX12Attribute|LinearGradientElementX12Attribute,x1|x2,Shortcut for assigning x1 and x2,"x12 =v is equivalent to  x1=v[1], x2=v[2]"
xy1,line|linearGradient,LineElementXY1Attribute|LineElementXY1Attribute|LinearGradientElementXY1Attribute|LinearGradientElementXY1Attribute,x1|y1,Shortcut for assigning x1 and y1,"xy1 =v is equivalent to  x1=v[1], y1=v[2]"
xy2,line|linearGradient,LineElementXY2Attribute|LineElementXY2Attribute|LinearGradientElementXY2Attribute|LinearGradientElementXY2Attribute,x2|y2,Shortcut for assigning x2 and y2,"xy2 =v is equivalent to  x2=v[1], y2=v[2]"
y12,line|linearGradient,LineElementY12Attribute|LineElementY12Attribute|LinearGradientElementY12Attribute|LinearGradientElementY12Attribute,y1|y2,Shortcut for assigning y1 and y2,"y12 =v is equivalent to  y1=v[1], y2=v[2]"
refXY,marker,MarkerElementREFXYAttribute|MarkerElementREFXYAttribute,refX|refY,Shortcut for assigning refX and refY,"refXY =v is equivalent to  refX=v[1], refY=v[2]"
fxy,radialGradient,RadialGradientElementFXYAttribute|RadialGradientElementFXYAttribute,fx|fy,Shortcut for assigning fx and fy,"fxy =v is equivalent to  fx=v[1], fy=v[2]"
