loc	anim	val	additive	animate	set	animateColor	animateTransform
TextElementRotateAttribute	TRUE	<list-of-numbers>	FALSE	TRUE	TRUE	FALSE	FALSE
TSpanElementRotateAttribute	TRUE	<list-of-numbers>	FALSE	TRUE	TRUE	FALSE	FALSE
TextPathElementSpacingAttribute	TRUE	" """"auto | exact"""""					
TextPathElementStartOffsetAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
TextElementTextLengthAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
TSpanElementTextLengthAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
AltGlyphElementXAttribute	TRUE	<list-of-coordinates>	FALSE	TRUE	TRUE	FALSE	FALSE
GlyphRefElementXAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
TextElementXAttribute	TRUE	<list-of-coordinates>	FALSE	TRUE	TRUE	FALSE	FALSE
TSpanElementXAttribute	TRUE	<list-of-coordinates>	FALSE	TRUE	TRUE	FALSE	FALSE
AltGlyphElementHrefAttribute	FALSE	<iri>	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphRefElementHrefAttribute	FALSE	<iri>	FALSE	FALSE	FALSE	FALSE	FALSE
TextPathElementHrefAttribute	TRUE	<iri>					
TRefElementHrefAttribute	TRUE	<iri>	FALSE	TRUE	TRUE	FALSE	FALSE
AltGlyphElementYAttribute	TRUE	<list-of-coordinates>	FALSE	TRUE	TRUE	FALSE	FALSE
GlyphRefElementYAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
TextElementYAttribute	TRUE	<list-of-coordinates>	FALSE	TRUE	TRUE	FALSE	FALSE
TSpanElementYAttribute	TRUE	<list-of-coordinates>	FALSE	TRUE	TRUE	FALSE	FALSE
ForeignObjectElementHeightAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
ForeignObjectElementWidthAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
ForeignObjectElementXAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
ForeignObjectElementYAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
ColorProfileElementLocalAttribute	FALSE	<string>	FALSE	FALSE	FALSE	FALSE	FALSE
ColorProfileElementNameAttribute	FALSE	<name>	FALSE	FALSE	FALSE	FALSE	FALSE
ColorProfileElementRenderingIntentAttribute	FALSE	auto | perceptual | relative-colorimetric | saturation | absolute-colorimetric	FALSE	FALSE	FALSE	FALSE	FALSE
ColorProfileElementHrefAttribute	FALSE	<iri>	FALSE	FALSE	FALSE	FALSE	FALSE
MarkerHeightAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
MarkerUnitsAttribute	TRUE	strokeWidth | userSpaceOnUse					
MarkerWidthAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
OrientAttribute	TRUE	auto | <angle>					
MarkerElementRefXAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
MarkerElementRefYAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
PreserveAspectRatioAttribute	TRUE	7.8 The ΓÇýpreserveAspectRatioΓÇÖ attribute					
TransformAttribute	TRUE	7.6 The ΓÇýtransformΓÇÖ attribute					
ViewBoxAttribute	TRUE	7.7 The ΓÇýviewBoxΓÇÖ attribute					
AElementTargetAttribute	TRUE	_replace					
ViewElementViewTargetAttribute	FALSE	" """"XML_Name [XML_NAME]*"""""	FALSE	FALSE	FALSE	FALSE	FALSE
AElementXLinkActuateAttribute	FALSE	"""""onRequest"""""	FALSE	FALSE	FALSE	FALSE	FALSE
XLinkActuateAttribute	FALSE	" """"onLoad'"	FALSE	FALSE	FALSE	FALSE	FALSE
XLinkArcRoleAttribute	FALSE	" """"<IRI>"""""	FALSE	FALSE	FALSE	FALSE	FALSE
AElementXLinkHrefAttribute	TRUE	<iri>					
XLinkRoleAttribute	FALSE	" """"<IRI>"""""	FALSE	FALSE	FALSE	FALSE	FALSE
XLinkShowAttribute	FALSE	" """"new' | 'replace' | 'embed' | 'other' | 'none'"	FALSE	FALSE	FALSE	FALSE	FALSE
XLinkTitleAttribute	FALSE	" """"<anything>"""""	FALSE	FALSE	FALSE	FALSE	FALSE
XLinkTypeAttribute	FALSE	" """"simple"""""	FALSE	FALSE	FALSE	FALSE	FALSE
CursorElementXAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
CursorElementHrefAttribute	TRUE	<funciri>					
CursorElementYAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
ZoomAndPanAttribute	FALSE	Magnification represents a complete, uniform transformation on an SVG document fragment, where the magnify operation scales all graphical elements by the same amount. A magnify operation has the effect of a supplemental scale and translate transformation placed at the outermost level on the SVG document fragment (i.e., outside the outermost svg element).	FALSE	FALSE	FALSE	FALSE	FALSE
FilterPrimitiveIn1Attribute	TRUE	SourceGraphic | SourceAlpha | BackgroundImage | BackgroundAlpha | FillPaint | StrokePaint | <filter-primitive-reference>					
FilterPrimitiveIn2Attribute	TRUE	SourceGraphic | SourceAlpha | BackgroundImage | BackgroundAlpha | FillPaint | StrokePaint | <filter-primitive-reference>					
