loc	anim	val	additive	animate	set	animateColor	animateTransform
FontFaceElementXHeightAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceUriElementHrefAttribute	FALSE	<IRI>	FALSE	FALSE	FALSE	FALSE	FALSE
AccumulateAttribute	FALSE	"""""none | sum"""""	FALSE	FALSE	FALSE	FALSE	FALSE
AdditiveAttribute	FALSE	"""""replace | sum"""""	FALSE	FALSE	FALSE	FALSE	FALSE
AttributeNameAttribute	FALSE	<attributeName>	FALSE	FALSE	FALSE	FALSE	FALSE
AttributeTypeAttribute	FALSE	CSS | XML | auto	FALSE	FALSE	FALSE	FALSE	FALSE
BeginAttribute	FALSE	begin-value-list	FALSE	FALSE	FALSE	FALSE	FALSE
ByAttribute	FALSE	"""""<value>"""""	FALSE	FALSE	FALSE	FALSE	FALSE
CalcModeAttribute	FALSE	"""""discrete | linear | paced | spline"""""	FALSE	FALSE	FALSE	FALSE	FALSE
DurAttribute	FALSE	"Clock-value | """"media"""" | """"indefinite"""""	FALSE	FALSE	FALSE	FALSE	FALSE
EndAttribute	FALSE	end-value-list	FALSE	FALSE	FALSE	FALSE	FALSE
FillAttribute	FALSE	"""""freeze"""" | """"remove"""""	FALSE	FALSE	FALSE	FALSE	FALSE
FromAttribute	FALSE	"""""<value>"""""	FALSE	FALSE	FALSE	FALSE	FALSE
KeyPointsAttribute	FALSE	<list-of-numbers>	FALSE	FALSE	FALSE	FALSE	FALSE
KeySplinesAttribute	FALSE	"""""<list>"""""	FALSE	FALSE	FALSE	FALSE	FALSE
KeyTimesAttribute	FALSE	"""""<list>"""""	FALSE	FALSE	FALSE	FALSE	FALSE
MaxAttribute	FALSE	"Clock-value | """"media"""""	FALSE	FALSE	FALSE	FALSE	FALSE
MinAttribute	FALSE	"Clock-value | """"media"""""	FALSE	FALSE	FALSE	FALSE	FALSE
OriginAttribute	FALSE	default	FALSE	FALSE	FALSE	FALSE	FALSE
PathAttribute	FALSE	<path-data>	FALSE	FALSE	FALSE	FALSE	FALSE
RepeatCountAttribute	FALSE	"numeric value | """"indefinite"""""	FALSE	FALSE	FALSE	FALSE	FALSE
RepeatDurAttribute	FALSE	"Clock-value | """"indefinite"""""	FALSE	FALSE	FALSE	FALSE	FALSE
RestartAttribute	FALSE	"""""always"""" | """"whenNotActive"""" | """"never"""""	FALSE	FALSE	FALSE	FALSE	FALSE
RotateAttribute	FALSE	<number> | auto | auto-reverse	FALSE	FALSE	FALSE	FALSE	FALSE
SetElementToAttribute	FALSE	<value>	FALSE	FALSE	FALSE	FALSE	FALSE
ToAttribute	FALSE	"""""<value>"""""	FALSE	FALSE	FALSE	FALSE	FALSE
AnimateTransformElementTypeAttribute	FALSE	translate | scale | rotate | skewX | skewY	FALSE	FALSE	FALSE	FALSE	FALSE
ValuesAttribute	FALSE	"""""<list>"""""	FALSE	FALSE	FALSE	FALSE	FALSE
MPathElementHrefAttribute	FALSE	<iri>	FALSE	FALSE	FALSE	FALSE	FALSE
HrefAttribute	FALSE	<iri>	FALSE	FALSE	FALSE	FALSE	FALSE
feComponentTransferAmplitudeAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feDistantLightAzimuthAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feTurbulenceBaseFrequencyAttribute	TRUE	<number>					
feConvolveMatrixElementBiasAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feDiffuseLightingDiffuseConstantAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feConvolveMatrixElementDivisorAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feOffsetDxAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feOffsetDyAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feConvolveMatrixElementEdgeModeAttribute	TRUE	duplicate | wrap | none					
feDistantLightElevationAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
