loc	anim	additive	animate	set	animateColor	animateTransform
KeyTimesAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
MaxAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
MinAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
OriginAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
PathAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
RepeatCountAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
RepeatDurAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
RestartAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
RotateAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
SetElementToAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ToAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AnimateTransformElementTypeAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ValuesAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
MPathElementHrefAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
HrefAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
feComponentTransferAmplitudeAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feDistantLightAzimuthAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feTurbulenceBaseFrequencyAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feConvolveMatrixElementBiasAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feDiffuseLightingDiffuseConstantAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feConvolveMatrixElementDivisorAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feOffsetDxAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feOffsetDyAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feConvolveMatrixElementEdgeModeAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
feDistantLightElevationAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feComponentTransferExponentAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
FilterElementFilterResAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
FilterElementFilterUnitsAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
FilterElementHeightAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
FilterPrimitiveHeightAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
FilterPrimitiveInAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
feComponentTransferInterceptAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feCompositeK1Attribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feCompositeK2Attribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feCompositeK3Attribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feCompositeK4Attribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
